2
# Numeric modifiers can now be expressions, enclosed in square brackets.
# No spaces are allowed within the expression, except as part of a zone/location name.
# + - * / ( ) have their usual mathematical meaning and precedence.
# ^ is exponentiation, with the highest precedence.
# Functions available:
#	ceil(x) floor(x) sqrt(x) min(x,y) max(x,y) abs(x)
# Location functions: loc(text) zone(text)
#	These have a value of 1 if the current adventure location or zone contains the
#	specified text, 0 elsewhere.
# Path function: path(text)
#	This has a value of 1 if the player's path matches the text.
# Familiar function: fam(text)
#	This has a value of 1 if the player's familiar type contains the text, else 0.
# Weapon function: mainhand(text)
#	This has a value of 1 if the player's mainhand weapon class (sword, club, etc.)
#	contains the text.
# Preferences function: pref(text)
# Effect function: effect(text)
#	This returns the number of turns remaining of the effect uniquely matching text.
# Resistance function: res(text)
#	This returns the number of resistance levels for the listed element
# Class function: class(text)
#	This has a value of 1 if the player's class matches the text.
# Skill function: skill(text)
#	This has a value of 1 if the player has the skill matching the text.
# There can be at most one of each text function in any single expression.
# Upper-case letters are varying values:
#	A - number of Ascensions
#	B - Blood of Wereseal effect
#	C - Clancy's level
#	D - Drunkenness
#	E - active (nonintrinsic) Effects
#	F - Fullness
#	G - Grimace darkness (0..5)
#	H - Hobo Power
#	I - Disco Momentum
#	J - 1 on Festival of Jarlsberg, 0 otherwise
#	K - Smithsness
#	L - player Level
#	M - total Moonlight (0..9)
#	N - AudieNce
#	P - Pasta Thrall level
#	R - Reagent potion duration
#	S - Spleenness
#	T - Turns remaining of this effect
#	U - telescope Upgrades
#	W - familiar Weight
#	X - gender (-1=male, 1=female)
#	Y - furY
#
# Items which "change with every new day":
#
# Tuesday's Ruby
#	Sunday		+5% Meat from Monsters
#	Monday		Muscle +5%
#	Tuesday		Regenerate 3-7 MP per adventure
#	Wednesday	+5% Mysticality
#	Thursday	+5% Item Drops from Monsters
#	Friday		+5% Moxie
#	Saturday	Regenerate 3-7 HP per adventure

# Hats section of modifiers.txt

# Platypus: Unlocks Little Canadia
Sign:Platypus	Experience Percent (Muscle): +10, Familiar Weight: +5
# Vole: Unlocks Degrassi Knoll
Sign:Vole	Experience Percent (Moxie): +10, Initiative: +20, Maximum HP: +20, Maximum MP: +20
# Wallaby: Unlocks Degrassi Knoll
Sign:Wallaby	Experience Percent (Mysticality): +10, Spell Damage Percent: +20
# Wombat: Unlocks the Gnomish Gnomad Camp
Sign:Wombat	Experience Percent (Muscle): +10, Meat Drop: +20

# Stat Day section of modifiers.txt

Moxie Day	Experience Percent (Moxie): +25
Muscle Day	Experience Percent (Muscle): +25
Mysticality Day	Experience Percent (Mysticality): +25

# Zone-specific section of modifiers.txt
# -100% is the most common penalty in The Sea; use it as the default

Zone:The Sea	Initiative Penalty: -100, Item Drop Penalty: -100, Meat Drop Penalty: -100

# Location-specific section of modifiers.txt

Loc:The Briniest Deepests	Initiative Penalty: +25, Item Drop Penalty: +25, Meat Drop Penalty: +25
Loc:The Brinier Deepers	Initiative Penalty: +50, Item Drop Penalty: +50, Meat Drop Penalty: +50
Loc:The Briny Deeps	Initiative Penalty: +75, Item Drop Penalty: +75, Meat Drop Penalty: +75
Loc:Mer-kin Elementary School	Initiative Penalty: -100, Item Drop Penalty: -100, Meat Drop Penalty: -100
Loc:Mer-kin Library	Initiative Penalty: -100, Item Drop Penalty: -100, Meat Drop Penalty: -100
Loc:Mer-kin Gymnasium	Initiative Penalty: -100, Item Drop Penalty: -100, Meat Drop Penalty: -100
Loc:Mer-kin Colosseum	Initiative Penalty: -100, Item Drop Penalty: -100, Meat Drop Penalty: -100
Loc:Anemone Mine	Initiative Penalty: -100, Item Drop Penalty: -100, Meat Drop Penalty: -100
Loc:Caliginous Abyss	Initiative Penalty: -100, Item Drop Penalty: -100, Meat Drop Penalty: -100
Loc:The Dive Bar	Initiative Penalty: -100, Item Drop Penalty: -100, Meat Drop Penalty: -100
Loc:The Marinara Trench	Initiative Penalty: -100, Item Drop Penalty: -100, Meat Drop Penalty: -100

Loc:The Sunken Party Yacht	Initiative Penalty: -50, Item Drop Penalty: -50, Meat Drop Penalty: -50

# Synergies section of modifiers.txt
# Synergies are triggered when an arbitrary combination of two or more
# equipment items, passive skills, active effects, campground items, or
# a specific outfit are present.  They can't depend on your familiar or
# its equipment, to allow the possibility of a familiar weight modifier.
# The name of the synergy is split into elements using whatever character
# immediately follows "synergy": this should obviously be something that
# doesn't appear in any of the element names.
# Each element of the synergy must appear earlier in this file (even if
# it has no enchantments itself), with a "Synergetic" flag.
# There is currently a limit of 32 total Synergetic items.

synergy/bewitching boots/bitter bowtie	Meat Drop: +10, Cold Resistance: +1
synergy/bitter bowtie/brazen bracelet	Meat Drop: +10, Cold Resistance: +1, Sleaze Resistance: +1
synergy/brazen bracelet/bewitching boots	Meat Drop: +10, Sleaze Resistance: +1
synergy/cardboard katana/cardboard wakizashi	Weapon Damage: +20
synergy/lupine sword/snarling wolf shield	Spooky Damage: +9
synergy/molten medallion/monstrous monocle	Item Drop: +10, Hot Resistance: +1, Spooky Resistance: +1
synergy/monstrous monocle/musty moccasins	Item Drop: +10, Spooky Resistance: +1, Stench Resistance: +1
synergy/musty moccasins/molten medallion	Item Drop: +10, Stench Resistance: +1, Hot Resistance: +1
synergy/serpentine sword/snake shield	Monster Level: +10
synergy/stuffed carpenter/stuffed walrus	HP Regen Min: 5, HP Regen Max: 5, MP Regen Min: 5, MP Regen Max: 5

# Mutual exclusions section of modifiers.txt
# These work much like synergies, but indicate that no two of the listed
# equipment items or effects can coexist.  Each element must appear earlier
# in this file, even if their modifiers are just "none"; the mutex itself
# should also specify "none" since its modifiers aren't actually used.

mutex/V for Vivala mask/Juju Mojo Mask	none
mutex/Perceptive Pressure/Perspicacious Pressure/Pneumatic/Proficient Pressure/Puissant Pressure/Pulchritudinous Pressure	none
mutex/Purple Tongue/Green Tongue/Orange Tongue/Red Tongue/Blue Tongue/Black Tongue	none
mutex/Broken Heart/Fiery Heart/Cold Hearted/Sweet Heart/Withered Heart/Lustful Heart	none
mutex/shining halo/furry halo/frosty halo/time halo	none

# Maximization categories section of modifiers.txt
# These pseudo-items list the indirect benefits of certain classes of
# equipment.  If the Modifier Maximizer finds that any of these classes
# have a positive score, the items in that class will be considered as
# possibilities even if their direct benefits wouldn't qualify them.
# The exact values don't really matter, just their sign.

_brimstone	Item Drop: 1, Meat Drop: 1, Monster Level: 1
_cloathing	Item Drop: 1, Meat Drop: 1, Moxie: 1, Mysticality: 1, Muscle: 1
_hoboPower	Weapon Damage: 0.8, Ranged Damage: 1.0, Spell Damage: 1.2, HP Regen Min: 0.25, HP Regen Max: 0.33, MP Regen Min: 0.25, MP Regen Max: 0.33, Meat Drop: 1.0, Item Drop: 0.5
_slimeHate	Monster Level: [zone(The Slime Tube)]
_smithsness	Meat Drop: +2, Item Drop: +1, Moxie Percent: +2, Mysticality Percent: +2, Muscle Percent: +2, Weapon Damage: +1, Monster Level: +1, Spell Damage: +2, Initiative: +1, Maximum MP: +2, Maximum HP: +2

# Foods section of modifiers.txt

&quot;meat&quot; stick	Effect: "Empty Inside", Effect Duration: 50
3vi1 pr0n m4nic0tti	Effect: "A Little Bit Evil", Effect Duration: 10
amok pudding	Effect: "Puddingface", Effect Duration: 20
badass pie	Effect: "Pie in the Sky", Effect Duration: 20
bag of GORF	Effect: "Long Live GORF", Effect Duration: 3
bag of QWOP	Effect: "QWOPped Up", Effect Duration: 10
Bash-&#332;s cereal	Wiki Name: "Bash-Os cereal"
bat-shaped Crimboween cookie	Effect: "Bells in the Batfry", Effect Duration: 10
Beefy Crunch Pastaco	Effect: "Boletus Swoletus", Effect Duration: 40
beefy fish meat	Effect: "Fishy", Effect Duration: 5
bell-shaped Crimbo cookie	Effect: "Fury of the Bells", Effect Duration: 10
bishop cookie	Effect: "Mitre Cut", Effect Duration: 30
black forest cake	Effect: "Sugar Rush", Effect Duration: 5
blob-shaped Crimbo cookie	Effect: "Amorphous Cheer", Effect Duration: 10
blunt cat claw	Effect: "Feline Ferocity", Effect Duration: 30
bowl of Bounty-Os	Effect: "Broken Fast", Effect Duration: 20
Brain Food Pastaco	Effect: "Omphalotus Omnipresence", Effect Duration: 40
brown sugar cane	Effect: "Sugar Rush", Effect Duration: 3
bucket of honey	Effect: "Sugar Rush", Effect Duration: 50
C.H.U.M. chum	Effect: "Majorly Poisoned", Effect Duration: 20
can of Adultwitch&trade;	Effect: "Greasy Visage", Effect Duration: 20
can of franks 'n' beans	Effect: "Crimbo Nostalgia", Effect Duration: 50
candied pecan	Effect: "Sugar Rush", Effect Duration: 10
candy carrot	Effect: "Improved Candy Vision", Effect Duration: 10
candy carrot cake	Effect: "Improved Candy Vision", Effect Duration: 30
candy kneecapping stick	Effect: "Sugar Rush", Effect Duration: 5
candy mountain oyster	Effect: "Sugar Rush", Effect Duration: 10
carrot cake	Effect: "Pla-see-bo", Effect Duration: 10
centipede eggs	Effect: "Somewhat Poisoned", Effect Duration: 10
chaos popcorn	Effect Duration: 5
cheezburger	Effect: "Yes, Can Haz", Effect Duration: 50
chilly dog	Effect: "Chill Out, Dog", Effect Duration: 30
circular CRIMBCOOKIE	Effect: "Mystic Circle", Effect Duration: 10
cold hi mein	Effect: "Cold Breath", Effect Duration: 5
Cool Brunch Pastaco	Effect: "Gyromitra Gymnastics", Effect Duration: 40
cool cat claw	Effect: "Feline Ferocity", Effect Duration: 30
cool jelly donut	Effect: "Filled with Magic", Effect Duration: 30
cup of lukewarm tea	Effect: "Jittery", Effect Duration: 20
cupcake-in-a-cup	Effect: "Cake Caked", Effect Duration: 10
cursed black pearl onion	Effect: "Curse of the Black Pearl Onion", Effect Duration: 1
cursed sea biscuit	Effect: "Curse Magnet", Effect Duration: 10
D roll	Effect: "On a Roll", Effect Duration: 20
devil dog	Effect: "Devil Inside", Effect Duration: 30
dragon snaps	Effect: "Oh Snap", Effect Duration: 5
Dreadsylvanian cold pocket	Effect: "Dreadful Chill", Effect Duration: 200
Dreadsylvanian hot pocket	Effect: "Dreadful Heat", Effect Duration: 200
Dreadsylvanian shepherd's pie	Effect: "Shepherd's Breath", Effect Duration: 10
Dreadsylvanian sleaze pocket	Effect: "Dreadful Sheen", Effect Duration: 200
Dreadsylvanian spooky pocket	Effect: "Dreadful Fear", Effect Duration: 200
Dreadsylvanian stew	Effect: "You've Got a Stew Going!", Effect Duration: 50
Dreadsylvanian stink pocket	Effect: "Dreadful Smell", Effect Duration: 200
dwarf bread	Effect: "Dwarven Hardiness", Effect Duration: 5
electric Kool-Aid	Effect: "Electric, Kool", Effect Duration: 50
elven <i>limbos</i> gingerbread	Effect: "Yuletide Industry", Effect Duration: 20
Energy Buzz Pastaco	Effect: "Stemonitis Storm", Effect Duration: 40
escargotsicle	Effect: "Extremely Poor Taste", Effect Duration: 10
Every Day is Like This Sundae	Effect: "Smithsness Dinner", Effect Duration: 100
evil boring spaghetti	Effect: "A Little Bit Evil", Effect Duration: 10
evil delicious noodles	Effect: "A Little Bit Evil", Effect Duration: 10
evil delicious spicy noodles	Effect: "A Little Bit Evil", Effect Duration: 10
evil painful penne pasta	Effect: "A Little Bit Evil", Effect Duration: 10
evil ravioli della hippy	Effect: "A Little Bit Evil", Effect Duration: 10
evil spicy noodles	Effect: "A Little Bit Evil", Effect Duration: 10
exotic jungle fruit	Effect: "Full of Fruit, Yourself", Effect Duration: 25
expired can of franks 'n' beans	Effect: "Crimbo Nostalgia", Effect Duration: 30
FDKOL hotcakes	Effect: "Hotcaked", Effect Duration: 50
festive sausage	Effect: "Sausage Festive", Effect Duration: 20
fireman's lunch	Effect: "You're Not Cooking", Effect Duration: 20
flower petal pie	Effect: "Flower Power", Effect Duration: 3
foie gras	Effect: "Beaten Up", Effect Duration: 1
forbidden danish	Effect: "Danish Cunning", Effect Duration: 30
frozen danish	Effect: "Danish Cunning", Effect Duration: 30
fudgesicle	Effect: "Fudge Headache", Effect Duration: 30
ghost dog	Effect: "Scaredy Dog", Effect Duration: 30
giant green gummi bear	Effect: "Gummibrain", Effect Duration: 40
giant red gummi bear	Effect: "Gummiheart", Effect Duration: 40
giant yellow gummi bear	Effect: "Gummiskin", Effect Duration: 40
gingerbread mutant bugbear	Effect: "Festive Radiation", Effect Duration: 10
gingerbread robot	Effect: "Gingerbread Robust", Effect Duration: 20
glistening fish meat	Effect: "Fishy", Effect Duration: 5
green drunki-bear	Effect: "Gummibrain", Effect Duration: 80
green hamhock	Effect: "Just the Best Anapests", Effect Duration: 50
gunky chicken	Effect: "Gunky Dory", Effect Duration: 20
haggis-wrapped haggis-stuffed haggis	Effect: "Highland Sheen", Effect Duration: 20
herb brownies	Effect: "Confused", Effect Duration: 5
hippy herbal tea	Effect: "Sleepy", Effect Duration: 5
holiday cheese log	Effect: "Stands Alone", Effect Duration: 20
honey-dew	Effect: "Mmmmmelon", Effect Duration: 10
hot hi mein	Effect: "Hot Breath", Effect Duration: 5
ice cream sandwich	Effect: "Cold Throat", Effect Duration: 20
ice harvest	Effect: "Icy Demeanor", Effect Duration: 30
irradiated candy cane	Effect: "Festive Radiation", Effect Duration: 10
jawbruiser	Effect: "Sugar Rush", Effect Duration: 5
jive turkey leg	Effect: "Hollow Inside", Effect Duration: 50
jungle floor wax	Effect: "Wax On Your Shoes", Effect Duration: 20
junkyard dog	Effect: "Dog Breath", Effect Duration: 30
king cookie	Effect: "The Royal We", Effect Duration: 30
knight cookie	Effect: "Knightlife", Effect Duration: 30
knuckle sandwich	Effect: "Cruisin' for a Bruisin'", Effect Duration: 20
licorice garrote	Effect: "Sugar Rush", Effect Duration: 5
lihc eye pie	Effect: "Eye of the Lihc", Effect Duration: 5
liquid bread	Effect: "Comprehensively Nourished", Effect Duration: 20
Ludovico Pastaco	Effect: "Tremella Tremens", Effect Duration: 40
maple syrup	Effect: "Antsy in your Pantsy", Effect Duration: 5
Medical Pastaco	Effect: "Helvella Health", Effect Duration: 40
Miserable Pie	Effect: "Smithsness Dinner", Effect Duration: 50
nachos of the night	Effect: "Night of the Nachos", Effect Duration: 20
nanite-infested candy cane	Effect: "Chock Full o' Nanites", Effect Duration: 20
nanite-infested fruitcake	Effect: "Chock Full o' Nanites", Effect Duration: 20
nanite-infested gingerbread bugbear	Effect: "Chock Full o' Nanites", Effect Duration: 20
natto pocky	Effect: "Ninja, Please", Effect Duration: 30
nut-shaped Crimbo cookie	Effect: "Nut-Rition", Effect Duration: 20
occult jelly donut	Effect: "Filled with Magic", Effect Duration: 30
old chum	Effect: "Fishy", Effect Duration: 5
one with everything	Effect: "Inner Dog", Effect Duration: 50
packet of beer nuts	Effect: "Salty Mouth", Effect Duration: 1
pawn cookie	Effect: "Pwnd", Effect Duration: 30
pecan pie	Effect: "Pecan Pied Piper", Effect Duration: 30
petit 4.1	Effect: "Petit Force", Effect Duration: 20
plumber's lunch	Effect: "Egg Burps", Effect Duration: 20
poisonous caviar	Effect: "Majorly Poisoned", Effect Duration: 50
powdered donut	Effect: "Powdered", Effect Duration: 5
protein paste	Effect: "Pasty", Effect Duration: 10
queen cookie	Effect: "Towering Strength"
rack of dinosaur ribs	Effect: "Meat the Flintstones", Effect Duration: 30
red drunki-bear	Effect: "Gummiheart", Effect Duration: 80
roasted marshmallow	Effect: "Mallowed Out", Effect Duration: 3
rocky road ice cream	Effect: "A Contender", Effect Duration: 40
rook cookie	Effect: "Towering Strength", Effect Duration: 30
savage macho dog	Effect: "Macho, Macho Dog", Effect Duration: 50
shadowy cat claw	Effect: "Feline Ferocity", Effect Duration: 30
shoo-fish pie	Effect: "Fishy", Effect Duration: 20
shrapnel jelly donut	Effect: "Filled with Magic", Effect Duration: 30
skull-shaped Crimboween cookie	Effect: "Bells in the Batfry", Effect Duration: 10
Skully's hot chocolate	Effect: "Skull Full of Hot Chocolate", Effect Duration: 10
sleazy hi mein	Effect: "Sleazy Breath", Effect Duration: 5
slick fish meat	Effect: "Fishy", Effect Duration: 5
slimy sweetbreads	Effect: "Grimace", Effect Duration: 20
sly dog	Effect: "Top Dog", Effect Duration: 50
smashed danish	Effect: "Danish Cunning", Effect Duration: 30
snow berries	Effect: "Berry Berry Cold", Effect Duration: 30
spaghetti con calaveras	Effect: "Eso S&iacute; Que Es", Effect Duration: 10
spooky hi mein	Effect: "Spooky Breath", Effect Duration: 5
square CRIMBCOOKIE	Effect: "Square to be Hip", Effect Duration: 10
squirmy violent party snack	Effect: "Broken Dancing", Effect Duration: 10
stinky hi mein	Effect: "Stinky Breath", Effect Duration: 5
Strix stix	Effect: "Sugar-Frosted Pet Guts", Effect Duration: 40
sun-dried tofu	Effect: "Oversaturated Palate", Effect Duration: 1
sweet roll Alabama	Effect: "Helping Comes Second", Effect Duration: 30
Taco Dan's Taco Stand Taco	Effect: "Meaty and Cheesy", Effect Duration: 10
tea for one	Effect: "One For Tea", Effect Duration: 40
tempura broccoli	Effect: "Down With Chow", Effect Duration: 20
tempura cauliflower	Effect: "Low on the Hog", Effect Duration: 20
They liver popsicle	Effect: "You Liver", Effect Duration: 100
thyme jelly donut	Effect Duration: 5
Tiger-lily's milk	Effect: "Grrrrrrreat!", Effect Duration: 5
toast with jam	Effect: "Jammin'", Effect Duration: 5
toasted brie	Effect: "Refined Palate", Effect Duration: 20
tobiko pocky	Effect: "Pisces in the Skyces", Effect Duration: 30
tombstone-shaped Crimboween cookie	Effect: "Crimbo Epiphany", Effect Duration: 10
tree-shaped Crimbo cookie	Effect: "Yuletide Sappiness", Effect Duration: 10
triangular CRIMBCOOKIE	Effect: "Triangle, Man", Effect Duration: 10
turtle soup	Effect: "A Little Bit Evil"
ultrafondue	Effect: "Fondid", Effect Duration: 30
unfortunate dumplings	Effect: "Really Quite Poisoned", Effect Duration: 20
unidentifiable dried fruit	Effect: "Fruited", Effect Duration: 50
Ur-Donut	Effect: "Sugar Rush", Effect Duration: 10
video games hot dog	Effect: "Video Game Hot Dog", Effect Duration: 50
warbear feasting bread	Effect: "Gift of the Warbear", Effect Duration: 40
warbear thermoregulator bread	Effect: "Superheated Guts", Effect Duration: 40
warbear warrior bread	Effect: "Warriors, Come out to Playyyy", Effect Duration: 40
wasabi pocky	Effect: "Wasabi With You", Effect Duration: 30
wet dog	Effect: "Hangdog", Effect Duration: 30
wild honey pie	Effect: "Sugar Rush", Effect Duration: 10
witch's bread	Effect: "Witch Breaded", Effect Duration: 20
wreath-shaped Crimbo cookie	Effect: "Wreathed in Merriment", Effect Duration: 10
yellow drunki-bear	Effect: "Gummiskin", Effect Duration: 80

# Boozes section of modifiers.txt

Agitated Turkey	Effect: "Turkey-Agitated", Effect Duration: 25
Alewife&trade; Ale	Effect: "Brined Liver", Effect Duration: 5
Ambitious Turkey	Effect: "Turkey-Ambitious", Effect Duration: 25
an evil little sump'm sump'm	Effect: "A Little Bit Evil", Effect Duration: 10
artisanal limoncello	Effect: "Sugar Rush", Effect Duration: 30
Aura Libre	Effect: "Transcendental Wind", Effect Duration: 15
Aye Aye	Effect: "Arresistible", Effect Duration: 5
Aye Aye, Captain	Effect: "Arresistible", Effect Duration: 10
Aye Aye, Tooth Tooth	Effect: "Arresistible", Effect Duration: 15
Bartles and BRAAAINS wine cooler	Effect: "Braaaains Over Braaaawwn", Effect Duration: 30
Bee's Knees	Effect: "On the Trolley", Effect Duration: 25
Beignet Milgranet	Effect: "Sugar Rush", Effect Duration: 100
berry-infused sake	Effect: "Warm Belly", Effect Duration: 1
Blood Light	Effect: "Bloody-minded", Effect Duration: 30
blood-red mushroom wine	Effect: "Helvella Health", Effect Duration: 80
bloody kiwitini	Effect: "First Blood Kiwi", Effect Duration: 10
Bone's Farm &quot;wine&quot;	Effect: "Sticks and Stones", Effect Duration: 30
Bordeaux Marteaux	Effect: "Hammered", Effect Duration: 20
bottle of Bloodweiser	Effect: "Blood Porter", Effect Duration: 50
bottle of Evermore	Effect: "The Dark Lord Rides in Force Tonight", Effect Duration: 30
bottle of Greedy Dog	Effect: "Covetin' Drunk", Effect Duration: 20
bottle of Lambada Lambic	Effect: "Dancin' Drunk", Effect Duration: 20
bottle of Old Pugilist	Effect: "Fightin' Drunk", Effect Duration: 20
bottle of Ooze-O	Effect: "Really Quite Poisoned", Effect Duration: 20
bottle of peppermint schnapps	Effect: "Crimbo Nostalgia", Effect Duration: 50
bottle of Pete's Sake	Effect: "Warm Belly", Effect Duration: 1
bottle of Professor Beer	Effect: "Thinkin' Drunk", Effect Duration: 20
bottle of Race Car Red	Effect: "Flyin' Drunk", Effect Duration: 20
bottle of Rapier Witbier	Effect: "Jokin' Drunk", Effect Duration: 20
bottle of realpagne	Effect: "The Real Deal", Effect Duration: 10
bottle of sewage schnapps	Effect: "Majorly Poisoned", Effect Duration: 20
broberry brogurt	Effect: "Broberry Brotality", Effect Duration: 40
brocolate brogurt	Effect: "Brocolate Brostidigitation", Effect Duration: 40
Buttery Knob	Effect: "Gutterminded", Effect Duration: 5
buzzing mushroom wine	Effect: "Stemonitis Storm", Effect Duration: 80
Caipiranha	Effect: "Fishy", Effect Duration: 5
Candicaine	Effect: "Holiday Bliss", Effect Duration: 15
Candy Alexander	Effect: "Holiday Bliss", Effect Duration: 10
canteen of wine	Effect: "In Vino Vires", Effect Duration: 20
carrot claret	Effect: "Pla-see-bo", Effect Duration: 10
Cement Mixer	Effect: "Mortarfied", Effect Duration: 5
Chakra Libre	Effect: "Transcendental Wind", Effect Duration: 10
chocotini	Effect: "High Blood Chocolate Content", Effect Duration: 30
Cinco Mayo Lager	Effect: "Cinco Elementos", Effect Duration: 5
citrus-infused sake	Effect: "Warm Belly", Effect Duration: 1
complex mushroom wine	Effect: "Omphalotus Omnipresence", Effect Duration: 80
cranberry schnapps	Effect: "Cranberry Cordiality", Effect Duration: 10
Crazymaker	Effect: "Void Between the Stars", Effect Duration: 15
cruelty-free wine	Effect: "Compensatory Cruelness", Effect Duration: 5
crystal skeleton vodka	Effect: "Aykrophobia", Effect Duration: 20
cursed bottle of black-label rum	Effect: "Curse Magnet", Effect Duration: 10
dew yoana lei	Effect: "Brined Liver", Effect Duration: 20
dew yoana salacious lei	Effect: "Brined Liver", Effect Duration: 30
discocktail	Effect: "Disco Neuropathy", Effect Duration: 30
Doublepunchplanter	Effect: "Fishy", Effect Duration: 10
Drac & Tan	Effect: "Creepypasted ", Effect Duration: 5
Dreadsylvanian cold-fashioned	Effect: "Dreadful Chill", Effect Duration: 200
Dreadsylvanian dank and stormy	Effect: "Dreadful Smell", Effect Duration: 200
Dreadsylvanian grimlet	Effect: "Dreadful Fear", Effect Duration: 200
Dreadsylvanian hot toddy	Effect: "Dreadful Heat", Effect Duration: 200
Dreadsylvanian slithery nipple	Effect: "Dreadful Sheen", Effect Duration: 200
Drunken Astrophysicist	Effect: "Heisenberglary", Effect Duration: 15
Drunken Neurologist	Effect: "Heisenberglary", Effect Duration: 10
Drunken Philosopher	Effect: "Heisenberglary", Effect Duration: 5
Dump Truck	Effect: "Mortarfied", Effect Duration: 15
dusty bottle of Pinot Noir	Effect: "Kiss of the Black Fairy", Effect Duration: 10
dusty bottle of Port	Effect: "Full of Vinegar", Effect Duration: 10
Earth and Firewater	Effect: "Elemental Mastery", Effect Duration: 10
Earth, Wind and Firewater	Effect: "Elemental Mastery", Effect Duration: 15
Ecto-Cooler	Effect: "Booing Radly", Effect Duration: 30
electric snakebite	Effect: "Once Bitten Twice Fried", Effect Duration: 20
elven cellocello	Effect: "Sugar Rush", Effect Duration: 20
elven moonshine	Effect: "Drunk With Power", Effect Duration: 20
evil ducha de oro	Effect: "A Little Bit Evil", Effect Duration: 10
evil horizontal tango	Effect: "A Little Bit Evil", Effect Duration: 10
evil roll in the hay	Effect: "A Little Bit Evil", Effect Duration: 10
expired bottle of peppermint schnapps	Effect: "Crimbo Nostalgia", Effect Duration: 30
Extra-slimy Slimosa	Effect: "In the Slimelight", Effect Duration: 10
Fantasma en la M&aacute;quina	Effect: "Sangre Brillante", Effect Duration: 13
Fauna Libre	Effect: "Transcendental Wind", Effect Duration: 5
Firewater	Effect: "Elemental Mastery", Effect Duration: 5
Flaming Caipiranha	Effect: "Fishy", Effect Duration: 15
Flaming Knob	Effect: "Gutterminded", Effect Duration: 15
Flaming Mohobo	Effect: "Mo' Hobo", Effect Duration: 15
Flaming Sazerorc	Effect: "Orc Chops", Effect Duration: 15
Flying Caipiranha	Effect: "Fishy", Effect Duration: 10
French bronilla brogurt	Effect: "French Bronilla Brogueishness", Effect Duration: 40
Friendly Turkey	Effect: "Turkey-Friendly", Effect Duration: 25
Fromage Pinotage	Effect: "Some Cheese with Your Wine", Effect Duration: 20
flat cider	Effect: "Fruited", Effect Duration: 100
Fuzzy Tentacle	Effect: "Void Between the Stars", Effect Duration: 10
glass of herbal tequila	Effect: "Herbal Pert", Effect Duration: 50
gloomy mushroom wine	Effect: "Gothy", Effect Duration: 20
Golden Mean	Effect: "World's Shortest Giant", Effect Duration: 10
Grasshopper	Effect: "Cockroach Scurry", Effect Duration: 5
Great Old Fashioned	Effect: "Void Between the Stars", Effect Duration: 5
green eggnog	Effect: "Just the Best Anapests", Effect Duration: 50
Green Giant	Effect: "World's Shortest Giant", Effect Duration: 15
Green Manalishi	Effect: "The Two-Prong Crown", Effect Duration: 30
Haymaker	Effect: "Fishy", Effect Duration: 15
Herring Daiquiri	Effect: "Fishy", Effect Duration: 5
Herring Wallbanger	Effect: "Fishy", Effect Duration: 10
herringcello	Effect: "Sugar Rush", Effect Duration: 20
Herringtini	Effect: "Fishy", Effect Duration: 15
honey mead	Effect: "Sugar Rush", Effect Duration: 5
Hot Socks	Effect: "Hip to the Jive", Effect Duration: 50
Hundred Headed IPA	Effect: "Hoppyness", Effect Duration: 20
Irish Coffee, English Heart	Effect: "Smithsness Cheer", Effect Duration: 100
Ish Kabibble	Effect: "Feeling No Pain", Effect Duration: 25
Jackhammer	Effect: "Mortarfied", Effect Duration: 10
La Fantasma y La Oscuridad	Effect: "La Oscuridad Adentro", Effect Duration: 13
Locust	Effect: "Cockroach Scurry", Effect Duration: 10
Lollipop Drop	Effect: "Holiday Bliss", Effect Duration: 5
Lumineux Limnio	Effect: "Bright!", Effect Duration: 50
lychee chuhai	Effect: "Brined Liver", Effect Duration: 20
marshmallow flamb&eacute;	Effect: "Sugar Rush", Effect Duration: 10
McLeod's Hard Haggis-Ade	Effect: "Hagg-ard", Effect Duration: 20
melon-infused sake	Effect: "Warm Belly", Effect Duration: 1
mini-martini	Effect: "It's Not Even Funny", Effect Duration: 11
Mohobo	Effect: "Mo' Hobo", Effect Duration: 5
Moonshine Mohobo	Effect: "Mo' Hobo", Effect Duration: 10
Morto Moreto	Effect: "Majorly Poisoned", Effect Duration: 100
mulled berry wine	Effect: "Sweet Nostalgia", Effect Duration: 30
Murderer's Punch	Effect: "Punchy, Murdery", Effect Duration: 40
Muschat	Effect: "L'instinct F&eacute;lin", Effect Duration: 20
nanite-infested eggnog	Effect: "Chock Full o' Nanites", Effect Duration: 20
natto-infused sake	Effect: "Ninja, Please", Effect Duration: 30
New Zealand iced tea	Effect: "New Zeal", Effect Duration: 20
non-aged vinegar	Effect: "Sour Grapes", Effect Duration: 40
oozenog	Effect: "Festive Radiation", Effect Duration: 10
Oreille Divis&eacute;e brandy	Effect: "Hoity Toity", Effect Duration: 20
overpowering mushroom wine	Effect: "Boletus Swoletus", Effect Duration: 80
Plague of Locusts	Effect: "Cockroach Scurry", Effect Duration: 15
Punchplanter	Effect: "Fishy", Effect Duration: 5
Red Dwarf	Effect: "World's Shortest Giant", Effect Duration: 5
red hot boilermaker	Effect: "Boilermade", Effect Duration: 50
Rompedores de Fantasmas	Effect: "Desenfantasmada", Effect Duration: 13
salacious lychee chuhai	Effect: "Brined Liver", Effect Duration: 30
salacious screwdiver	Effect: "Brined Liver", Effect Duration: 30
